time	open	high	low	close	tick_volume	spread	real_volume	short_ma	long_ma	signal
2022-01-03 08:00:00	1825.44	1826.69	1820.93	1826.33	10600	5	0	1822.789	1807.1766	1
2022-01-03 12:00:00	1826.33	1827.45	1805.71	1807.17	20312	5	0	1821.998	1807.4659999999997	1
2022-01-03 16:00:00	1807.13	1811.04	1798.32	1799.69	32206	5	0	1820.3229999999999	1807.5002	1
2022-01-03 20:00:00	1799.65	1804.53	1799.12	1801.2	10888	5	0	1818.592	1807.5638000000001	1
2022-01-04 00:00:00	1802.46	1806.88	1802.21	1805.13	8550	5	0	1817.2990000000002	1807.9160000000002	1
2022-01-04 04:00:00	1805.11	1807.01	1803.12	1805.42	10757	5	0	1815.4099999999999	1808.2518	1
2022-01-04 08:00:00	1805.43	1807.35	1801.95	1805.7	14310	5	0	1813.325	1808.575	1
2022-01-04 12:00:00	1805.7	1808.56	1798.51	1807.14	21082	5	0	1811.212	1808.9648000000002	1
2022-01-04 16:00:00	1807.14	1816.74	1806.35	1813.57	31724	5	0	1809.6799999999998	1809.4674	1
2022-01-04 20:00:00	1813.6	1815.36	1813.45	1814.36	9543	5	0	1808.571	1809.8632	-1
2022-01-05 00:00:00	1813.84	1815.44	1812.69	1815.25	5265	5	0	1807.4630000000002	1810.1782	-1
2022-01-05 04:00:00	1815.29	1816.61	1814.11	1815.81	8169	5	0	1808.327	1810.4235999999999	-1
2022-01-05 08:00:00	1815.77	1820.23	1812.49	1817.79	13085	5	0	1810.1370000000002	1810.6378	-1
2022-01-05 12:00:00	1817.75	1827.89	1815.02	1825.54	18713	5	0	1812.571	1811.0254	1
2022-01-05 16:00:00	1825.54	1829.6	1820.43	1822.84	25112	5	0	1814.3419999999999	1811.3411999999998	1
2022-01-05 20:00:00	1822.77	1824.94	1808.32	1810.53	20742	5	0	1814.8529999999998	1811.4053999999999	1
2022-01-06 00:00:00	1810.06	1811.58	1807.11	1810.26	8064	5	0	1815.309	1811.4438	1
2022-01-06 04:00:00	1810.22	1810.27	1803.02	1803.02	12144	5	0	1814.8969999999997	1811.349	1
2022-01-06 08:00:00	1803.02	1803.89	1793.75	1794.88	21350	5	0	1813.0279999999998	1811.0306	1
2022-01-06 12:00:00	1794.87	1807.15	1786.92	1788.44	27751	5	0	1810.4360000000001	1810.6073999999999	-1
2022-01-06 16:00:00	1788.48	1795.55	1787.1	1791.09	33410	5	0	1808.02	1810.3	-1
2022-01-06 20:00:00	1790.99	1791.44	1786.5	1789.72	11744	5	0	1805.411	1809.924	-1
2022-01-07 00:00:00	1791.18	1792.63	1789.82	1790.74	6385	5	0	1802.7060000000001	1809.5744	-1
2022-01-07 04:00:00	1790.76	1793.28	1789.78	1790.72	7384	5	0	1799.2239999999997	1809.1524000000002	-1
2022-01-07 08:00:00	1790.72	1793.88	1787.82	1793.11	12857	5	0	1796.2509999999997	1808.8124000000003	-1
2022-01-07 12:00:00	1793.11	1796.18	1782.64	1789.19	21615	5	0	1794.1170000000002	1808.3382000000001	-1
2022-01-07 16:00:00	1789.21	1796.69	1786.55	1795.93	34369	5	0	1792.684	1807.9520000000002	-1
2022-01-07 20:00:00	1795.93	1798.63	1794.3	1796.3	10590	5	0	1792.012	1807.5212	-1
2022-01-10 00:00:00	1794.95	1796.8	1792.16	1794.94	8292	5	0	1792.018	1807.2108	-1
2022-01-10 04:00:00	1794.95	1796.16	1791.47	1793.13	9202	5	0	1792.4869999999999	1806.9507999999998	-1
2022-01-10 08:00:00	1793.11	1797.96	1791.35	1796.78	15051	5	0	1793.056	1806.7709999999997	-1
2022-01-10 12:00:00	1796.85	1802.32	1791.48	1793.0	23670	5	0	1793.384	1806.4972	-1
2022-01-10 16:00:00	1792.97	1800.06	1790.36	1799.38	28940	5	0	1794.248	1806.4296	-1
2022-01-10 20:00:00	1799.35	1801.88	1798.4	1801.69	12986	5	0	1795.345	1806.6648	-1
2022-01-11 00:00:00	1800.41	1805.97	1799.97	1804.9	7418	5	0	1796.5240000000001	1806.6831999999997	-1
2022-01-11 04:00:00	1804.86	1808.67	1804.37	1808.45	8809	5	0	1798.45	1806.7742	-1
2022-01-11 08:00:00	1808.45	1810.23	1806.09	1806.91	17254	5	0	1799.548	1806.8462	-1
2022-01-11 12:00:00	1806.91	1809.05	1804.44	1805.54	17231	5	0	1800.4720000000002	1806.987	-1
2022-01-11 16:00:00	1805.63	1817.86	1801.79	1817.56	32880	5	0	1802.734	1807.3392000000001	-1
2022-01-11 20:00:00	1817.53	1823.25	1817.24	1821.43	12224	5	0	1805.5639999999999	1807.713	-1
2022-01-12 00:00:00	1820.14	1822.55	1818.41	1819.05	7527	5	0	1807.791	1807.8238000000001	-1
2022-01-12 04:00:00	1819.05	1821.54	1817.74	1820.46	8042	5	0	1810.5370000000003	1807.9314000000002	1
2022-01-12 08:00:00	1820.46	1821.49	1814.71	1816.34	13556	5	0	1812.2329999999997	1807.9294	1
2022-01-12 12:00:00	1816.32	1825.43	1816.02	1821.28	21498	5	0	1814.1920000000002	1807.9848000000002	1
2022-01-12 16:00:00	1821.29	1827.01	1818.95	1826.16	28605	5	0	1816.318	1808.1468	1
2022-01-12 20:00:00	1826.1	1828.01	1825.6	1826.14	9950	5	0	1818.0870000000002	1808.1834	1
2022-01-13 00:00:00	1825.78	1826.63	1824.1	1825.43	6314	5	0	1819.9389999999999	1808.1609999999998	1
2022-01-13 04:00:00	1825.44	1828.14	1824.02	1825.89	7575	5	0	1821.9740000000002	1808.1134	1
2022-01-13 08:00:00	1825.9	1827.6	1819.04	1822.82	16157	5	0	1822.5	1807.9920000000002	1
2022-01-13 12:00:00	1822.79	1826.02	1819.24	1821.99	18094	5	0	1822.5559999999998	1807.9228000000003	1
2022-01-13 16:00:00	1821.99	1823.83	1812.35	1820.63	30960	5	0	1822.714	1807.8088	1
2022-01-13 20:00:00	1820.61	1822.89	1819.55	1822.71	9722	5	0	1822.9389999999999	1808.1196000000002	1
2022-01-14 00:00:00	1821.49	1824.58	1819.53	1822.34	7776	5	0	1823.539	1808.5726000000002	1
2022-01-14 04:00:00	1822.4	1828.11	1822.28	1827.74	10683	5	0	1824.1850000000002	1809.1034	1
